txn_id,date,from_clabe,to_clabe,amount,reference,channel
BNK-00217,2026-03-13,646180000006704697,646180000008605257,103436.04,Pago factura INV-00265,SPEI
BNK-00345,2026-02-19,646180000006704697,646180000008446872,67208.08,Pago factura INV-00375,SPEI
BNK-00158,2026-05-23,646180000006704697,646180000010347435,30337.48,Pago factura INV-00029,SPEI
BNK-00090,2026-02-26,646180000006704697,646180000007259028,17564.72,Pago factura INV-00038,SPEI
BNK-00199,2026-01-25,646180000006704697,646180000007021450,36147.92,Pago factura INV-00256,SPEI
BNK-00236,2026-04-15,646180000006704697,646180000008842829,62345.36,Pago factura INV-00294,SPEI
BNK-00337,2026-02-27,646180000006704697,646180000008526064,22760.36,Pago factura INV-00338,SPEI
BNK-00358,2026-05-29,646180000006704697,646180000010426628,19551.80,Pago factura INV-00204,SPEI
BNK-00348,2026-04-18,646180000006704697,646180000007654979,17670.28,Pago factura INV-00019,SPEI
BNK-00046,2026-05-21,646180000006704697,646180000007892540,89741.08,Pago factura INV-00209,SPEI
BNK-00169,2026-06-30,646180000006704697,646180000009476346,108848.60,Pago factura INV-00067,SPEI
BNK-00297,2026-01-30,646180000006704697,646180000007100643,85021.04,Pago factura INV-00293,SPEI
BNK-00361,2026-06-25,646180000006704697,646180000008130117,97477.12,Pago factura INV-00343,SPEI
BNK-00280,2026-01-31,646180000006704697,646180000007100643,14119.52,Pago factura INV-00042,SPEI
BNK-00141,2026-06-15,646180000006704697,646180000008050925,41212.48,Pago factura INV-00221,SPEI
BNK-00319,2026-02-15,646180000006704697,646180000007179836,45024.24,Pago factura INV-00267,SPEI
BNK-00263,2026-03-21,646180000006704697,646180000008684443,38430.80,Pago factura INV-00287,SPEI
BNK-00201,2026-06-30,646180000006704697,646180000008209307,63506.52,Pago factura INV-00246,SPEI
BNK-00009,2026-05-23,646180000006704697,646180000006863075,10117.06,Pago factura INV-00242,SPEI
BNK-00229,2026-05-14,646180000006704697,646180000007813354,71534.88,Pago factura INV-00341,SPEI
BNK-00148,2026-06-30,646180000006704697,646180000010664192,34700.24,Pago factura INV-00120,SPEI
BNK-00024,2026-06-30,646180000006704697,646180000008209307,82799.64,Pago factura INV-00082,SPEI
BNK-00018,2026-03-31,646180000006704697,646180000008763636,23493.48,Pago factura INV-00262,SPEI
BNK-00007,2026-02-15,646180000006704697,646180000006783883,23722.00,Pago factura INV-00129,SPEI
BNK-00006,2026-06-12,646180000006704697,646180000010505811,69294.92,Pago factura INV-00340,SPEI
BNK-00001,2026-05-12,646180000006704697,646180000006783883,14233.20,Pago factura INV-00355,SPEI
BNK-00238,2026-06-17,646180000006704697,646180000009317968,30903.56,Pago factura INV-00096,SPEI
BNK-00301,2026-04-08,646180000006704697,646180000007575786,57357.36,Pago factura INV-00130,SPEI
BNK-00156,2026-02-07,646180000006704697,646180000009634722,49345.24,Pago factura INV-00241,SPEI
BNK-00157,2026-03-14,646180000006704697,646180000009872296,23007.44,Pago factura INV-00107,SPEI
BNK-00279,2026-04-06,646180000006704697,646180000007575786,108432.16,Pago factura INV-00360,SPEI
BNK-00144,2026-04-04,646180000006704697,646180000010030674,103062.52,Pago factura INV-00255,SPEI
BNK-00331,2026-04-03,646180000006704697,646180000008763636,75937.08,Pago factura INV-00172,SPEI
BNK-00182,2026-06-30,646180000006704697,646180000008209307,96205.76,Pago factura INV-00208,SPEI
BNK-00189,2026-02-14,646180000006704697,646180000008446872,28442.04,Pago factura INV-00115,SPEI
BNK-00015,2026-06-30,646180000006704697,646180000010664192,108124.76,Pago factura INV-00170,SPEI
BNK-00110,2026-05-14,646180000006704697,646180000009080392,49790.68,Pago factura INV-00097,SPEI
BNK-00335,2026-02-03,646180000006704697,646180000007100643,95898.36,Pago factura INV-00045,SPEI
BNK-00078,2026-03-29,646180000006704697,646180000009951489,13926.96,Pago factura INV-00190,SPEI
BNK-00367,2026-03-23,646180000006704697,646180000006863075,10117.06,Pago factura INV-00368,SPEI
BNK-00095,2026-06-08,646180000006704697,646180000010505811,49774.44,Pago factura INV-00305,SPEI
BNK-00070,2026-05-07,646180000006704697,646180000010268242,92974.00,Pago factura INV-00098,SPEI
BNK-00292,2026-01-25,646180000006704697,646180000008288496,91646.96,Pago factura INV-00321,SPEI
BNK-00168,2026-04-21,646180000006704697,646180000008922011,15852.56,Pago factura INV-00193,SPEI
BNK-00268,2026-03-17,646180000006704697,646180000007417404,108187.40,Pago factura INV-00366,SPEI
BNK-00241,2026-05-12,646180000006704697,646180000006942268,29997.60,Pago factura INV-00085,SPEI
BNK-00133,2026-02-06,646180000006704697,646180000007100643,45896.56,Pago factura INV-00225,SPEI
BNK-00284,2026-04-16,646180000006704697,646180000011297717,49300.00,Pago factura INV-00021,SPEI
BNK-00112,2026-04-28,646180000006704697,646180000010189059,22658.28,Pago factura INV-00226,SPEI
BNK-00360,2026-04-10,646180000006704697,646180000011139338,87000.00,Pago factura INV-00106,SPEI
BNK-00318,2026-01-28,646180000006704697,646180000008288496,73234.28,Pago factura INV-00012,SPEI
BNK-00233,2026-03-10,646180000006704697,646180000008605257,48126.08,Pago factura INV-00051,SPEI
BNK-00187,2026-03-30,646180000006704697,646180000008763636,74843.20,Pago factura INV-00054,SPEI
BNK-00082,2026-03-19,646180000006704697,646180000008684443,51060.88,Pago factura INV-00050,SPEI
BNK-00347,2026-05-04,646180000006704697,646180000009001203,83899.32,Pago factura INV-00363,SPEI
BNK-00250,2026-05-18,646180000006704697,646180000009080392,97675.48,Pago factura INV-00159,SPEI
BNK-00326,2026-05-20,646180000006704697,646180000007892540,40796.04,Pago factura INV-00006,SPEI
BNK-00161,2026-03-15,646180000006704697,646180000009872296,51396.12,Pago factura INV-00092,SPEI
BNK-00291,2026-06-26,646180000006704697,646180000008130117,29203.00,Pago factura INV-00146,SPEI
BNK-00004,2026-04-27,646180000006704697,646180000008922011,100487.32,Pago factura INV-00004,SPEI
BNK-00028,2026-05-23,646180000006704697,646180000006783883,9488.80,Pago factura INV-00355,SPEI
BNK-00111,2026-04-07,646180000006704697,646180000010030674,95573.56,Pago factura INV-00206,SPEI
BNK-00108,2026-06-17,646180000006704697,646180000008050925,58887.40,Pago factura INV-00199,SPEI
BNK-00040,2026-05-28,646180000006704697,646180000009159582,94071.36,Pago factura INV-00140,SPEI
BNK-00275,2026-04-13,646180000006704697,646180000007575786,42986.12,Pago factura INV-00153,SPEI
BNK-00074,2026-06-28,646180000006704697,646180000008130117,105554.20,Pago factura INV-00275,SPEI
BNK-00322,2026-06-10,646180000006704697,646180000010505811,28357.36,Pago factura INV-00165,SPEI
BNK-00114,2026-04-16,646180000006704697,646180000010109864,44142.64,Pago factura INV-00191,SPEI
BNK-00351,2026-01-26,646180000006704697,646180000007021450,43568.44,Pago factura INV-00217,SPEI
BNK-00032,2026-02-11,646180000006704697,646180000009634722,64436.84,Pago factura INV-00269,SPEI
BNK-00174,2026-03-07,646180000006704697,646180000009793100,19501.92,Pago factura INV-00315,SPEI
BNK-00371,2026-02-21,646180000006704697,646180000007259028,54492.16,Pago factura INV-00093,SPEI
BNK-00129,2026-05-11,646180000006704697,646180000007813354,22135.12,Pago factura INV-00026,SPEI
BNK-00027,2026-05-26,646180000006704697,646180000009159582,66575.88,Pago factura INV-00136,SPEI
BNK-00120,2026-02-01,646180000006704697,646180000007100643,51433.24,Pago factura INV-00155,SPEI
BNK-00287,2026-01-24,646180000006704697,646180000008288496,17212.08,Pago factura INV-00280,SPEI
BNK-00016,2026-03-20,646180000006704697,646180000008684443,72190.28,Pago factura INV-00174,SPEI
BNK-00204,2026-03-17,646180000006704697,646180000009872296,46054.32,Pago factura INV-00167,SPEI
BNK-00242,2026-05-25,646180000006704697,646180000007892540,58360.76,Pago factura INV-00183,SPEI
BNK-00231,2026-06-15,646180000006704697,646180000006942268,49996.00,Pago factura INV-00252,SPEI
BNK-00052,2026-02-14,646180000006704697,646180000007179836,64397.40,Pago factura INV-00095,SPEI
BNK-00346,2026-01-21,646180000006704697,646180000009476346,23720.84,Pago factura INV-00195,SPEI
BNK-00023,2026-02-16,646180000006704697,646180000007179836,52728.96,Pago factura INV-00298,SPEI
BNK-00131,2026-05-30,646180000006704697,646180000010426628,29127.60,Pago factura INV-00055,SPEI
BNK-00031,2026-06-30,646180000006704697,646180000009397153,75586.76,Pago factura INV-00295,SPEI
BNK-00262,2026-05-25,646180000006704697,646180000009159582,15090.44,Pago factura INV-00197,SPEI
BNK-00299,2026-02-27,646180000006704697,646180007926021453,95001.68,Pago factura INV-00184,SPEI
BNK-00274,2026-03-24,646180000006704697,646180000008684443,54297.28,Pago factura INV-00131,SPEI
BNK-00100,2026-05-12,646180000006704697,646180000010268242,74052.08,Pago factura INV-00237,SPEI
BNK-00099,2026-06-30,646180000006704697,646180000010664192,107463.56,Pago factura INV-00274,SPEI
BNK-00181,2026-01-27,646180000006704697,646180000009555539,81477.24,Pago factura INV-00031,SPEI
BNK-00039,2026-06-08,646180000006704697,646180000009238775,94058.60,Pago factura INV-00001,SPEI
BNK-00177,2026-02-26,646180000010743385,646180055439863079,83652.24,Liquidacion operativa INV-00025,SPEI
BNK-00113,2026-05-15,646180000006704697,646180000009080392,90364.00,Pago factura INV-00149,SPEI
BNK-00311,2026-04-03,646180000006704697,646180000010030674,80084.08,Pago factura INV-00158,SPEI
BNK-00310,2026-04-17,646180000006704697,646180000011297717,49300.00,Pago factura INV-00013,SPEI
BNK-00184,2026-03-28,646180000006704697,646180000009951489,29981.36,Pago factura INV-00220,SPEI
BNK-00097,2026-04-14,646180000006704697,646180000010109864,99190.44,Pago factura INV-00182,SPEI
BNK-00139,2026-02-22,646180000006704697,646180000007259028,106348.80,Pago factura INV-00137,SPEI
BNK-00033,2026-05-12,646180000006704697,646180000006863075,15175.58,Pago factura INV-00242,SPEI
BNK-00332,2026-01-23,646180000006704697,646180000006783883,9488.80,Pago factura INV-00138,SPEI
